date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:20	818/818	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=scrmain.htm~gen~ref.htm	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=scrmain.htm_gen_ref.htm	(from )
14:52:20	10541/10541	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=SCRleft.htm~gen~ref.htm	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=SCRleft.htm_gen_ref.htm	(from )
14:52:20	10482/10482	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~type=WORKSHOP&vehicle=2012%20Fiesta&image=SCRvehic.jpg~gen~front.htm	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_type=WORKSHOP&vehicle=2012%20Fiesta&image=SCRvehic.jpg_gen_front.htm	(from )
14:52:20	5148/5148	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=SCRSTYLE.HTM~gen~ref.HTM	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=SCRSTYLE.HTM_gen_ref.HTM	(from )
14:52:20	1077/1077	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~leftside=SCRSJA0L.htm&rightside=SCRJA003.HTM&market=us&lang=en~gen~2col.htm	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_leftside=SCRSJA0L.htm&rightside=SCRJA003.HTM&market=us&lang=en_gen_2col.htm	(from )
14:52:20	25325/25325	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=SCRSPEC.HTM~gen~ref.HTM	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=SCRSPEC.HTM_gen_ref.HTM	(from )
14:52:20	50856/50856	--FM--	200	added ('OK')	application/pdf		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=SCRMETRICS.PDF~gen~ref.PDF	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=SCRMETRICS.PDF_gen_ref.PDF	(from )
14:52:20	7245/7245	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=SCRACRONYMS.HTM~gen~ref.HTM	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=SCRACRONYMS.HTM_gen_ref.HTM	(from )
14:52:20	364575/364575	--FM--	200	added ('OK')	text/html		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=SCRALPHAINDEX.HTM~gen~ref.HTM	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=SCRALPHAINDEX.HTM_gen_ref.HTM	(from )
14:52:20	89090/89090	--FM--	200	added ('OK')	application/pdf		file:///C:/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR~us~en~file=SCRTORQUEWRENCH.PDF~gen~ref.PDF	C:/Documents%20and%20Settings/Administrator/Desktop/Ford%20Fiesta%202012/file/C_/Documents%20and%20Settings/Administrator/Desktop/FORD/Ford%20Fiesta%202012/SCR_us_en_file=SCRTORQUEWRENCH.PDF_gen_ref.PDF	(from )
